5jcg,A,H
4l0u,I,I
7lj1,A,b
5hqp,A,C
4lq8,A,B
4n7y,A,B
1ib1,A,E
6gn0,A,E
6nyb,C,A
5ltw,B,C
3axy,C,A
6u2h,A,C
5n6n,A,C
4lcj,A,B
7cvp,A,B
1psd,A,A
5dt9,A,A
1ygy,A,A
3q2o,A,A
3qff,A,A
4n72,A,B
7b9k,A,A
2xt6,A,A
1vr0,B,C
6z92,A,B
2gsc,A,B
1m2a,A,B
5lc5,E,F
5xf9,A,B
6tg9,C,E
5ldw,E,F
6i0d,2,7
5lnk,2,a
6gcs,H,Y
5ldx,E,F
5a1s,A,B
1ips,A,B
4xae,A,A
4nj4,A,B
3tht,A,A
5a3u,A,B
6tp5,A,A
4iw3,A,B
5l9b,A,C
3dkq,C,B
4nhk,A,A
2rg4,A,B
6lnh,A,B
2d4g,A,B
5yhi,A,B
5yhh,A,A
5kef,A,B
5v26,A,B
4pvc,A,B
4wjt,A,B
6qk4,B,B
1j5y,A,A
4kue,A,B
4kug,A,A
3mog,A,A
6ysv,B,B
5zqz,A,D
4qhz,A,B
4kzx,E,E
4ul1,i,n
4kzy,E,E
6zoj,E,E
6zvh,A,R
3iz6,A,A
1wvk,A,A
2iw3,A,A
4m20,A,B
5byu,D,A
4qfw,A,B
5xua,A,B
4rc1,A,B
2y8n,B,A
4qjk,A,A
6rcx,A,B
4qvh,B,B
1sbq,A,B
4rg2,A,B
6co2,C,B
5j26,A,B
5hml,A,B
5hmm,A,A
6vde,A,A
1tfr,A,A
4ohf,A,B
5h7w,A,B
4q7f,A,A
4uwq,A,B
5mg3,C,D
6al2,A,A
1k6m,A,B
4ma4,A,A
5uq9,A,B
6fqx,A,A
1bbx,C,D
4cj0,B,A
6qba,B,A
4cj2,C,B
5ufe,B,A
5zau,B,A
2xbz,A,B
4u15,A,B
7f4d,R,M
4zwj,A,A
5dgy,A,A
4yay,A,A
5glh,A,B
5g53,A,C
6tpk,A,A
6meo,B,G
4rws,A,C
7f9y,R,C
4lde,A,A
7mt8,R,G
4pxf,A,A
2ks9,A,B
4ldl,A,B
6k42,R,B
4z9g,A,A
6e3y,R,P
6p9x,R,P
5vai,R,P
5nx2,A,A
6nbf,R,P
6uun,R,E
6ln2,A,A
7f16,R,P
4oo9,A,A
6n52,A,A
6c70,A,B
1avf,P,A
4lnv,A,A
4xam,C,D
4u4j,A,A
4u59,A,A
5m6w,B,Q
4ziq,A,A
5fo7,B,A
5fo9,B,C
4u48,A,A
6rur,A,N
6h04,A,C
5fo8,A,A
5foa,A,A
3km9,A,X
6rqj,B,E
5hcc,A,A
6ru5,B,B
5hcd,A,A
3hs0,C,I
4qi8,A,B
4ww0,B,C
4xgc,D,E
5d4w,A,A
5udb,A,9
3pvs,A,A
5uj7,A,A
4l15,A,A
3syk,A,A
5kne,B,C
6p8v,A,H
6sh3,A,A
3j96,E,E
5c18,A,A
5v8f,A,9
5vy8,F,A
5og1,F,A
6vvo,A,E
3u5z,B,F
3u60,B,G
7l9p,A,I
4ypl,B,B
6chs,F,A
5zr1,A,B
5ujm,A,D
6f0x,D,P
1sxj,A,G
6az0,E,D
3u61,B,A
6epc,I,D
6epf,I,C
5a5b,K,K
1iqp,A,F
4cr2,J,R
6z1f,1,A
5n7r,A,A
4l16,A,A
6oa9,B,G
5ean,A,A
4pj3,A,A
6ff7,U,U
5eaw,A,A
2xzl,A,A
5rl6,A,A
6ej5,A,A
6p74,A,A
7cte,D,E
7ctf,E,C
7ctg,E,E
1nks,A,C
2ql6,A,B
4cvn,A,F
6wvk,H,D
6yys,H,D
6yxu,H,D
6zca,H,X
6ppr,A,B
6zfb,H,H
5txv,S,X
6po1,A,H
1f2u,B,D
1ii8,B,A
6qj4,C,E
5da9,A,C
4w9m,C,C
6s6v,C,B
4nch,A,B
1nlf,A,B
4wop,A,B
4a0f,A,B
2r44,A,A
7egq,E,C
3gp8,A,A
5mbv,D,C
3e1s,A,A
3upu,A,A
5n8o,A,A
4ru8,A,B
3r9i,A,B
1ion,A,A
7npd,A,A
3r9j,A,C
4xrp,A,D
1yj5,A,B
7mi3,A,A
6i27,A,A
6hyp,A,A
5c3c,A,A
4zpx,B,B
6hz4,A,M
3k1j,B,A
4rh7,A,A
4w8f,A,A
5nug,A,A
6rla,A,A
5vh9,A,A
5vlj,A,A
6zyy,C,C
6zyw,A,A
6sc2,A,A
3vkg,A,A
6wgc,A,9
2x31,G,G
5vhj,D,G
5vhf,D,G
5vhi,D,G
4a3v,D,A
4jpo,C,A
3whl,A,B
6epd,H,Z
5t0i,B,f
5uie,A,H
1in4,A,A
1in5,A,A
6sza,A,A
6szb,A,A
3j3r,A,1
4ebj,A,B
4ebk,A,A
5xne,A,B
4ili,A,A
5qy1,B,A
4i43,A,B
3zef,A,B
5iw7,A,A
2x1c,A,B
4kzt,A,B
5yei,A,A
3s6g,A,A
4usj,A,D
4q1t,A,A
3wwn,A,B
6kkr,A,A
6m1y,A,A
5j4i,A,B
6li9,B,A
6irs,B,A
3byq,A,B
6c08,C,B
3h0n,A,A
2lzf,A,B
7kyp,B,D
5do7,A,B
6xjh,A,B
5xjy,A,A
5nj3,A,B
4yiy,A,B
4yix,A,A
4lsg,A,A
5uar,A,A
5u1d,A,X
4ry2,A,A
6jbj,A,B
3lft,A,B
6rwb,A,A
6l7e,A,A
3j5s,D,D
4p31,A,A
4tqu,S,M
4rfs,A,T
4r9u,C,A
5gko,A,A
5l75,A,G
6xbd,I,G
4fwi,B,B
4jbw,A,N
3j16,B,G
6xgy,A,B
5awf,C,A
4tqv,L,H
2r6f,A,A
2ygr,B,D
5fms,A,B
2iqi,A,B
3kmv,A,B
6sxr,A,A
3akf,A,A
2va0,B,C
4r0c,A,B
4lip,D,E
7ots,A,B
4qff,D,D
1cqz,A,B
3bdi,A,A
2zyi,A,A
2es4,A,D
5dwd,A,B
3doh,A,A
4q05,A,B
2zsh,A,B
7d79,C,C
2wtm,A,B
6ky5,A,B
6n8e,A,A
3nuz,A,B
4ok0,A,B
1zel,A,A
4n78,F,A
3p8c,F,B
1ujs,A,A
4nl5,A,B
2mjg,A,B
6c6l,N,K
6vq6,c,p
6m0r,N,B
4wd1,A,A
1pg3,B,A
5h3i,A,C
2f9i,A,C
5cs0,A,B
5csk,A,B
6k5l,A,B
4p69,A,A
3lcb,B,C
6ioy,A,B
4lrs,B,A
4lrt,B,A
1nvm,B,B
5l9w,C,A
5ddk,A,B
4n8h,A,A
3ddd,A,A
3iwg,A,A
5cnp,A,B
7c4g,A,A
6nas,N,A
4zm6,A,A
4psw,A,A
6qk7,C,A
6yga,A,C
6ygb,A,B
6cw2,D,C
4kvm,E,A
6vp9,A,B
6ia8,A,A
6iad,A,A
6c9m,B,C
5fvj,A,B
5us1,J,B
7ak7,A,C
3frm,A,A
4r36,A,B
6sp0,A,A
5w3t,A,B
5w3x,A,B
4yrh,A,B
4my0,A,B
4my3,A,A
4nv7,A,B
4onu,A,A
2zw4,A,B
4mbu,A,B
4qc6,A,B
5o7o,A,D
6i2t,A,B
3fju,B,A
1n9k,A,B
1u7p,A,B
7cnp,A,B
7cnq,A,A
4nqy,A,B
1l5j,A,A
5acn,A,A
1is2,A,B
5y9d,A,A
5ys9,A,B
5k3g,A,A
5vit,R,Y
5vj1,C,A
5cmo,A,B
4ku2,A,B
4ku3,A,A
6esq,I,I
5gk2,D,D
5nc5,A,G
3noc,A,E
5ng5,J,A
6iok,E,K
2rdd,A,B
5gol,A,B
1mjg,M,M
1oao,C,C
6u9h,F,G
6u9d,C,C
5den,A,A
1y7p,B,B
3nrb,A,B
6dzs,A,A
2qmx,A,A
6wo1,B,A
6vz8,F,D
1cja,A,B
6lod,D,A
6btm,D,B
6f0k,D,C
4wyb,A,B
1k8k,A,F
6fm2,A,B
6anu,A,a
5yu8,A,H
5nbn,A,H
6f1t,B,m
6znl,H,Y
5adx,E,b
2w49,P,0
1atn,A,D
5aft,A,K
1y64,A,B
5afu,A,L
4pkg,A,G
5i9e,A,E
6cxi,A,G
3j82,B,A
5h53,D,A
4xei,B,G
4xf2,A,E
6dec,H,K
6nbe,A,P
5ce3,A,B
6gvc,A,S
2v51,B,F
5tgc,A,C
1kxp,A,D
6ltj,J,I
4pl7,A,A
4pkh,A,B
6kn7,H,X
6kn8,F,U
6upv,A,L
1lot,B,A
6jh8,A,B
6fhs,J,I
2fo1,D,E
1nys,A,C
3nh7,B,O
2pjy,C,B
1lx5,B,A
2xqn,A,T
1zvp,A,B
6lxg,A,B
1u8s,A,B
5gs9,A,A
2f06,A,B
5x04,A,B
6ijc,A,A
4l1f,A,A
6kpt,A,A
4y9j,A,A
5ol2,C,A
4nxl,A,B
6fah,C,B
2oku,A,B
4oj1,A,B
3vti,A,A
3vth,A,A
1iuq,A,A
5zk4,A,B
4mz0,A,A
6u5t,G,G
6fij,A,B
1tht,A,B
5ke1,A,B
3b2z,A,E
6qig,A,A
3ghm,A,A
3ghn,A,A
2dw0,A,B
5y2z,A,A
4nee,A,B
5nzr,G,R
4p6z,G,S
5a1u,E,G
5a1v,E,G
5a1w,G,D
5nzs,K,K
6owo,B,N
6owt,A,N
4uqi,M,A
3ml6,A,A
4emz,A,E
4zbo,A,B
4w5a,A,E
2pv0,A,C
3nqb,A,B
3t81,A,A
2ofk,A,B
1vgg,A,B
2kje,B,A
5g5n,A,B
4djb,A,B
5iro,H,L
4e5x,G,A
6cgv,A,B
5ldn,A,A
6yba,B,N
4cwu,A,U
4liy,A,B
1qiu,A,A
6qnt,A,D
6z7n,M,B
3iyn,Q,F
1vsz,R,J
2qlv,A,B
4zhx,A,B
4qfg,A,C
4m0g,A,B
6itx,A,B
4hc1,A,M
1usq,A,B
3zh5,A,B
6rut,F,E
6rc9,A,A
4z6k,A,D
4l0q,A,A
5a3j,A,A
1kol,A,A
2b5v,A,A
4we3,A,C
4kzp,A,D
4tkl,B,A
2uv8,A,A
7onu,A,F
2vz8,A,B
3slk,A,A
1lxy,A,B
4mkf,A,B
4lvc,A,B
4pfj,A,A
1tlu,A,B
4l2z,A,B
4gf1,A,A
6klo,H,C
6klw,H,F
5k27,A,B
6d36,A,B
6dre,A,B
4nle,A,A
1y10,A,B
4oeb,A,B
5jzh,A,B
3g4n,A,A
4ogr,C,L
4imy,G,F
5jw9,A,B
4or5,E,C
6k7p,A,A
1yoz,A,B
2nwt,A,B
2lm0,A,A
4or1,A,B
5y9g,B,B
1aor,A,B
4z3w,A,A
4z3x,A,E
1l1i,A,A
5z6p,A,B
4bq2,A,A
4ova,A,B
4qw2,B,A
4qvz,A,A
1jlx,A,B
5mua,A,B
5d61,A,A
4ofq,A,B
4tsh,B,B
7cgp,B,B
6jr6,A,B
5f7u,A,A
5i23,A,A
1xg7,A,B
4f1n,A,A
1y8z,B,B
3n72,A,B
6xlh,C,A
6xlf,C,B
4eo3,A,B
5cyy,A,A
1xfs,A,B
1y01,A,B
5uy8,A,B
5uz0,A,A
4q1q,A,A
5miu,A,A
4lii,A,A
2xtm,A,B
2i5t,A,B
2qik,A,A
1yox,A,B
4ycu,C,A
4ycb,A,B
6yb8,A,A
5avm,A,B
5cc8,A,A
2hry,A,A
3d54,A,D
1vk3,A,A
2i6r,B,D
4l78,A,A
3vys,C,A
4zp3,O,R
3j4q,A,B
5hms,A,B
4lmp,A,A
4o9u,E,B
4lus,A,B
4lut,A,A
4pb3,A,A
4z9e,A,B
6agb,F,G
7cux,A,E
3lmm,A,C
2cov,D,E
4kwf,A,B
6ahc,B,C
4nm9,A,A
4q71,A,A
4nma,A,A
5im5,1,2
6p6f,A,B
4m6r,A,B
4rnl,A,C
1z45,A,A
4l1w,A,B
5wie,A,B
7jrj,H,D
4rc5,A,B
4yrw,A,B
4ysw,A,A
4uhw,A,A
4uhx,A,A
4us8,A,A
4us9,A,A
5xvj,A,B
6snh,X,H
3rbh,A,C
3evh,A,B
4nei,A,A
4q8l,A,B
5zu5,A,A
4o8v,A,B
4knc,A,A
5v8d,A,C
5lm2,A,B
2oev,A,A
1diz,A,B
1mpg,A,A
4nur,A,A
4pdx,A,A
4yr1,A,B
6psi,B,C
2mlx,B,A
5jtl,E,A
2mly,B,A
1sg3,A,B
1z8k,A,B
1lk9,A,B
2hor,A,A
4kw5,A,A
2fcw,A,B
2fyl,A,B
1aqh,A,A
1izj,A,A
2qpu,B,C
1qi3,A,A
3dhu,A,A
5cgt,A,A
4lpc,A,A
3edd,A,A
3ede,A,A
1iv8,A,A
6fme,A,B
5ot1,A,A
4u33,A,B
1ava,A,C
1viw,A,B
4lxf,A,A
1lwh,A,A
7lsa,A,A
2ya1,A,A
2e8y,A,A
2ya0,A,A
1kck,A,A
1tmq,A,B
1eh9,A,A
4uzu,A,A
5kbp,A,B
5jm0,A,A
2wyh,A,A
6b9o,A,A
6b9p,A,A
6rpc,A,A
1ywm,A,A
1iu1,A,B
1ky6,A,A
6yai,F,F
5any,A,C
5vu2,E,Q
6nk6,A,I
6imm,d,h
2e8g,A,A
4kuj,A,B
4oue,A,B
4ni3,A,A
6izr,1,2
4aud,A,B
4r19,A,B
2dgd,A,C
5ewq,B,C
6c62,A,D
5i8i,A,B
4n0h,A,B
3h0l,A,E
4wj3,A,C
4ols,A,D
4bj4,A,A
1aro,L,P
4m6h,A,B
5j72,A,A
3d6n,A,B
4bjh,A,B
1ie7,C,C
4ubp,C,B
4z42,C,A
4l5p,A,B
4r7w,A,B
4nq3,A,B
4bin,A,A
4wh5,A,B
4mgr,A,B
4n0b,A,B
6m4n,A,C
6m4o,T,E
5h7d,A,A
4m0j,A,B
4kxk,A,C
5usr,A,B
5kz5,1,D
5wkp,A,D
6pd1,A,A
4lw4,A,C
3lvj,A,C
4zcc,A,D
6vyp,K,A
4zcd,A,A
4kum,A,A
6nsj,A,B
1wsc,A,B
4nh2,A,D
2guw,B,B
1t8r,A,B
7ev9,B,B
4phz,B,C
4pi0,B,A
4r1l,A,A
3tsy,A,A
5ja1,A,B
5d6j,A,B
5ja2,A,A
4pyh,A,A
4pv4,A,B
1jaw,A,A
1k1w,A,A
1k1x,A,A
4ui9,A,O
5a31,A,A
6tnt,L,N
5g05,L,H
5g04,D,O
6q6g,D,U
6q6h,D,U
4rg6,S,A
4rg9,S,A
6tlj,N,S
4yii,A,U
5lcw,N,B
4rg7,A,B
2c2l,A,A
4kbq,A,C
5dse,A,B
4i9c,A,A
2q7f,A,A
5bpw,A,A
6tm5,I,N
5gxh,A,A
3jb9,U,i
3fmp,C,B
7apk,c,c
3ewe,A,D
4n14,A,A
7kyx,A,A
3hym,A,B
4p39,B,C
5b4p,B,A
4tsl,A,B
5n6y,C,A
4mqe,A,B
1jdp,A,H
5kca,A,A
6jfy,C,C
4pe5,B,B
4xoi,B,D
4o60,A,A
4k5b,A,D
5aq8,A,A
7a1n,B,A
6moe,A,D
2p2c,R,F
1ikn,D,A
5czy,A,A
6jmt,A,A
7mxi,E,B
2v4h,C,A
7e8i,K,B
3q9n,C,A
6c9k,A,A
6dmw,C,E
5uqe,A,B
1awc,B,A
6emk,G,C
4bep,A,A
6ndz,B,A
6qep,A,A
5lel,A,C
4hrn,A,D
5oyj,A,D
5knh,D,I
4ydy,A,I
4bsz,B,A
6s9s,F,A
2f8x,K,M
6rz3,B,A
6aun,A,A
5mbl,B,A
5cec,B,A
4hrl,A,C
7n2b,A,A
6v9h,C,C
6aei,A,A
5itz,F,B
6mwq,A,A
6mzf,b,Y
6fes,A,A
4mo4,A,B
1anw,A,A
5lpu,A,C
5j67,A,A
5j68,A,A
4wis,A,B
6p46,A,A
6hmj,A,B
4akk,A,A
1sd5,A,A
5oo7,A,B
5ahv,F,E
4pks,A,A
1k90,A,B
7bvd,A,B
4pen,A,A
1i1q,A,B
2bx9,A,B
2zp8,E,A
5ht0,A,B
1ile,A,A
4qrd,A,A
1ivs,A,A
1qu2,A,A
5h4v,A,B
1j09,A,A
1irx,A,A
4mvw,A,B
1p5u,B,C
1p5v,B,A
1z9s,B,A
4u2w,B,A
6gs3,A,B
2wj9,A,B
5ubm,I,A
4mo1,A,A
4llz,A,A
4ejx,D,A
6wxr,A,B
4m10,A,A
6wxu,A,A
5btu,A,B
5gn7,A,B
3igm,A,B
4i5t,A,B
1z6t,A,A
5hws,A,B
4ol9,A,A
1bg6,A,A
4xgv,A,C
5lgg,A,A
1jpp,C,A
1deb,A,B
4yjl,A,D
6p2a,A,B
3aqj,A,A
7eu4,A,B
4naw,A,B
5dfz,D,D
5jy7,I,B
4u94,A,A
5a63,C,B
6l4o,A,B
1l6l,1,2
5hx5,A,B
6nil,A,B
5hx4,B,A
5w45,A,B
6x91,A,A
6dvu,A,B
4ogq,C,C
1tkw,B,A
1vf5,C,G
6rqf,C,E
4pv1,C,H
2d2c,P,N
1q90,A,D
7lf7,K,H
1av1,A,B
2yg2,A,B
6itu,B,A
2fk3,A,C
4pwq,A,A
4rd9,A,B
4yn0,B,A
1jnr,B,A
1jnz,B,B
2fja,B,C
4rfv,A,B
1x6v,A,A
1xjq,A,A
6ro0,B,D
1bcp,B,B
1s18,A,B
4pfh,A,B
7bvr,A,B
5hmq,A,A
4lql,A,B
4r1o,A,A
7bvc,A,B
6x0o,A,A
7bve,A,A
5u93,A,B
3kmi,A,B
5bs6,A,A
6z6f,A,B
6z6h,A,C
6z6p,L,L
1arq,A,B
1mnt,A,A
5u9l,A,B
5ly5,A,A
4n2p,A,B
5o4u,A,B
6ytu,A,B
7bto,D,E
7btr,B,D
6sna,A,K
6i89,A,A
5izh,A,B
6klc,A,A
4zjf,A,B
6s9j,D,C
4o6h,A,D
3mwp,A,A
7ckl,A,B
4dcn,A,C
4v0m,A,B
5ee5,B,A
2a5d,A,B
3pcr,B,A
4q66,C,A
1j2j,A,B
1ksg,A,B
1r4a,A,E
4c0a,D,B
2w83,A,C
3vhx,A,B
6ii6,C,A
6bbp,A,A
6h5b,A,B
1m2o,B,A
6gni,B,A
2qtv,B,D
6fae,B,A
3bh6,A,B
6zga,C,E
5u4j,w,v
1i49,A,B
3fm8,C,B
4q3p,A,B
1j1z,A,B
1vra,A,B
5vm9,A,C
4kxt,A,A
4ola,A,A
4olb,A,A
4w5n,A,A
3c9a,A,B
3n2o,A,B
3nzp,A,B
1b4a,A,D
1f9n,A,A
3gdz,A,D
4oby,A,A
1iq0,A,A
7b5l,H,C
5tte,B,B
7b5m,H,R
5eq2,A,B
5eq3,A,A
4ljx,A,B
5ceh,A,A
6l87,A,A
4zi2,C,A
4mz5,E,E
1qz7,A,B
3sl9,E,C
3ifq,A,C
1wa5,B,C
1jdh,A,B
4u2x,D,A
4uad,A,E
5mfd,G,H
4rzp,A,A
6wx8,A,B
3tx7,A,B
3tpo,A,A
1luj,A,B
2c1m,A,B
5tbk,A,K
1z1b,A,B
5j0n,F,N
3rmp,A,C
6ha7,C,C
5f13,A,B
2jdq,B,D
2w3c,A,A
5a8j,A,A
1z01,B,D
4nb8,A,A
6w17,F,H
3gd1,E,I
6f7j,B,A
1ihu,A,A
3igf,A,A
6so5,A,D
3sjd,A,E
4pwx,A,E
3f0i,A,B
1z3e,A,B
6ghb,A,B
3kgk,A,B
6hxr,A,A
1p65,A,B
4p04,A,B
4p05,A,A
5wku,A,B
4ntw,A,B
4ntx,A,C
5guq,A,D
5f4y,A,B
4rrp,M,N
3aad,B,A
5zba,B,A
2i32,A,E
5c3i,A,D
1jr5,A,B
6k4y,I,F
5ulm,A,A
4mx2,A,A
1aos,A,A
5fca,A,B
11as,A,B
4pcq,A,B
4un1,A,B
1jgt,A,A
1q15,A,A
1m1z,A,A
1dp5,A,B
1f34,A,B
6i3f,B,A
5vae,A,C
6lnw,A,B
6oyc,A,C
4r8k,A,B
1ihd,A,A
2d6f,A,A
4o0c,A,B
1ge7,A,B
5hxx,A,B
5jz8,A,B
4p7w,A,A
1aw8,A,B
4cs0,A,B
2dc1,A,B
1j5p,A,A
1jfl,A,B
4rgh,A,B
1nc7,A,B
5zjk,A,B
6ht9,A,B
7aq1,A,A
1ynf,A,B
4mri,A,B
5j69,A,A
5ewn,A,B
5kou,A,B
3ts3,A,B
6hgc,C,A
6cga,B,A
2ffs,A,B
5xv4,F,N
4yk8,A,B
6gma,A,B
6sur,I,J
4p1w,C,F
5jhf,C,B
4hpq,A,B
3t7g,A,B
3vx7,A,B
4waa,A,B
4xc2,A,E
2z0d,B,A
3w1y,A,C
5yec,B,A
6wqz,A,B
5im3,B,B
4r1r,A,A
4x3v,A,A
5cns,A,F
6no0,A,B
1jkj,B,D
4xx0,B,A
3ln7,A,A
3df7,A,A
3vot,A,A
4xyl,B,D
7lgn,A,B
4xym,B,A
4rf6,A,A
4q2r,A,A
4tsf,G,G
4tt3,G,A
4xd7,G,A
5t4o,G,H
4yxw,G,H
5ara,G,I
5dn6,G,Z
4z1m,G,H
6j54,8,a
6j5a,8,i
6tt7,Q,P
6j5i,8,b
6j5j,8,d
5t4p,K,I
6b2z,M,S
6za9,N,O
6b8h,a,f
6cp3,X,8
6zbb,a,f
4q4l,A,A
5bn3,A,A
5y5y,B,G
5jji,A,A
6xas,A,G
4nph,A,A
5bw9,D,I
5are,C,S
3j9v,V,O
5tj5,B,A
4rnd,A,B
6ziq,e,g
6yy0,h,F
4res,E,G
4ret,E,C
4xe5,G,B
4o0m,A,A
5jwo,A,B
5hci,A,B
5o5o,A,C
1wy5,A,B
5ztb,A,D
1ni5,A,A
1cff,B,A
6cp6,6,Z
5vox,c,b
4i5v,A,A
4a7k,A,A
2jcd,A,B
6vpl,A,B
4ng2,A,B
4y15,A,C
2q0o,A,C
6wn0,A,B
2qom,A,B
3kvn,A,A
1lr5,A,D
4ldu,A,A
4nj6,A,D
2p1n,C,B
1ij8,A,B
2nud,A,B
4fpr,A,B
4bjm,A,B
4bjn,A,A
2qkw,A,B
3tl8,B,A
6nzo,S,E
6px3,S,C
5fdf,A,B
1oa8,A,B
3utm,C,B
6sav,A,A
1bvn,T,P
5ed1,A,D
6vff,B,B
6n91,A,B
3lgd,A,A
1w1i,E,B
2otk,E,C
5h75,A,A
5djt,B,A
3s1k,A,V
4bxl,A,C
1k50,A,B
4q37,A,B
1k7y,A,A
1xrs,B,A
4xc6,A,A
6h9e,A,B
1k98,A,A
4r3u,C,A
2i2x,B,A
6wte,A,A
5c8d,H,D
5z62,N,A
2az0,A,B
4p71,A,A
7by6,B,B
4p72,B,D
